empresa;prioridade;grupo;possui trimestral;deadline;horas;senior;staff 3;staff 2;trainee;fase_planejamento;fase_interim;fase_final;fase_trimestral
SUL AMERICA;1;1;Yes;Fev / Mar;18201;4;0;3;2;13;15;16;4
REDE DOR;2;1;Yes;Fev / Mar;18850;4;0;3;2;13;15;16;4
TIM;3;1;Yes;Fev;16400;3;0;3;2;13;15;16;4
GLOBO - GLOBO;4;1;Yes;Mar;11550;2;0;3;2;13;15;16;4
BROOKFIELD ENERGY (ELERA);5;1;Yes;Fev / Mar;12000;2;0;3;2;13;15;16;4
VALID;6;2;Yes;Mar;7982;3;1;1;2;5;7;10;3
PETRORIO;7;2;Yes;Fev / Mar;7735;3;1;1;2;5;7;10;3
ÁGUAS DO BRASIL;8;2;Yes;Mar;6400;3;1;1;2;5;7;10;3
HAZTEC (ORIZON);9;2;Yes;Mar;6700;3;1;1;2;5;7;10;3
NISSAN;10;2;Yes;Jan / Fev / Abr;5320;3;1;1;2;5;7;10;3
SOTREQ;11;3;No;Jan / Fev / Mar;5652;2;1;1;1;5;6;9;3
SHELL/BG;12;3;Yes;Jan / Fev;6300;2;1;1;1;5;6;9;3
GLOBENET (VTAL);13;3;Yes;Mar;8000;2;1;1;1;5;6;9;3
GRUPO SOMA;14;3;Yes;Fev;4240;2;1;1;1;5;6;9;3
COMMIT (GASPETRO);15;3;Yes;Fev;6300;2;1;1;1;5;6;9;3
TOTAL;16;4;Yes;Jan / Fev;5700;2;1;1;1;4;6;7;2
BR MALLS;17;4;Yes;Mar;4900;2;1;1;1;4;6;7;2
GGSH;18;4;Yes;Fev / Mar;4830;2;1;1;1;4;6;7;2
ALIANSCE;19;4;Yes;Mar;3880;2;1;1;1;4;6;7;2
EQUINOR;20;4;Yes;Fev;3800;2;1;1;1;4;6;7;2
V2i;21;4;Yes;Mar;3640;2;1;1;1;4;6;7;2
PEUGEOT CITROEN (BH);22;4;No;Jan / Jun;3500;2;1;1;1;4;6;7;2
PETROMAIS (Origem Energia);23;4;No;Mar;2400;2;1;1;1;4;6;7;2
EVOLTZ;24;5;Yes;Mar;3750;1;1;1;1;3;4;5;2
COCA COLA;25;5;No;Jan;2644;1;1;1;1;3;4;5;2
PROFARMA;26;5;Yes;Mar;3375;1;1;1;1;3;4;5;2
CATARATAS DO IGUAÇU;27;5;No;Mar;3225;1;1;1;1;3;4;5;2
OLX (Bom Negócio);28;5;No;Jan e Abr;2094;1;1;1;1;3;4;5;2
CYMI ;29;5;No;Mar;2300;1;1;1;1;3;4;5;2
TECHNOS;30;5;Yes;Fev;2700;1;1;1;1;3;4;5;2
GLOBO - EDITORA GLOBO S.A.;31;5;No;Mar;2813;1;1;1;1;3;4;5;2
D1000;32;5;Yes;Mar;2625;1;1;1;1;3;4;5;2
SILIMED;33;5;Yes;Fev;2140;1;1;1;1;3;4;5;2
CLUBE DE REGATAS DO FLAMENGO;34;6;No;Mar;1960;1;1;1;1;3;4;5;2
PORTO SUDESTE;35;6;Yes;Fev;1900;1;1;1;1;3;4;5;2
ALMAVIVA;36;6;No;Mar;1770;1;1;1;1;3;4;5;2
