,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
0,PETRORIO,PETRORIO,VALID,VALID,VALID,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,PORTO SUDESTE,PORTO SUDESTE,ALMAVIVA,ALMAVIVA,SAPURA,SAPURA,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,F,F,PETRORIO,PETRORIO,PETRORIO,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,PETRORIO,PETRORIO,F,F,PETRORIO
1,HAZTEC (ORIZON),HAZTEC (ORIZON),PETRORIO,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,KATRIUM,PORTO SUDESTE,DELLY COSMETICOS,ALMAVIVA,NATIONAL OIL,SAPURA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,PETRORIO,PETRORIO,PETRORIO,ÁGUAS DO BRASIL,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,F,F,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,PETRORIO,PETRORIO,PETRORIO,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,PETRORIO,PETRORIO,HAZTEC (ORIZON),HAZTEC (ORIZON),F,F,HAZTEC (ORIZON)
2,SHELL/BG,SHELL/BG,ÁGUAS DO BRASIL,NISSAN,NISSAN,ENERFLEX,KATRIUM,FAZENDA AGRO SB (Opportunity),DELLY COSMETICOS,Reichhold do Brasil (Polyint Group),NATIONAL OIL,SERTANEJA,TAG,HAZTEC (ORIZON),HAZTEC (ORIZON),ÁGUAS DO BRASIL,HAZTEC (ORIZON),ÁGUAS DO BRASIL,HAZTEC (ORIZON),ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,F,F,NISSAN,NISSAN,NISSAN,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,HAZTEC (ORIZON),HAZTEC (ORIZON),NISSAN,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,HAZTEC (ORIZON),HAZTEC (ORIZON),ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,SOTREQ,SOTREQ,F,F,SOTREQ
3,GRUPO SOMA,GRUPO SOMA,HAZTEC (ORIZON),GLOBENET (VTAL),GLOBENET (VTAL),MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,DELLY COSMETICOS,DIMENSIONAL (Benfour),NATIONAL OIL,FUGRO,OCEÂNICA ENGENHARIA,LABORATORIES SERVIER,FUNDOS BBI Fin Health - Investidas,NISSAN,NISSAN,HAZTEC (ORIZON),SOTREQ,HAZTEC (ORIZON),NISSAN,HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),F,F,SHELL/BG,SHELL/BG,SHELL/BG,HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),SOTREQ,SOTREQ,SHELL/BG,NISSAN,NISSAN,HAZTEC (ORIZON),NISSAN,NISSAN,HAZTEC (ORIZON),HAZTEC (ORIZON),GLOBENET (VTAL),GLOBENET (VTAL),F,F,GLOBENET (VTAL)
4,TOTAL,TOTAL,NISSAN,COMMIT (GASPETRO),COMMIT (GASPETRO),AET STS,ENERFLEX,BOLT Energia,FAZENDA AGRO SB (Opportunity),FCC,AXXON (RHMED),CHANNEL (EUROPRESTIGIO),AXXON (BR MARINAS),SHELL/BG,SOTREQ,NISSAN,GLOBENET (VTAL),NISSAN,SOTREQ,NISSAN,NISSAN,NISSAN,NISSAN,F,F,GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,GLOBENET (VTAL),GLOBENET (VTAL),GRUPO SOMA,SHELL/BG,SHELL/BG,NISSAN,SHELL/BG,SHELL/BG,NISSAN,NISSAN,COMMIT (GASPETRO),COMMIT (GASPETRO),F,F,COMMIT (GASPETRO)
5,GGSH,GGSH,SHELL/BG,BR MALLS,BR MALLS,TELEPAZIO BRASIL (Leonardo),FAZENDA AGRO SB (Opportunity),GALP,,GEOPARK,,SONANGOL STARFISH,GLOBO - FAMILY OFFICE,GRUPO SOMA,SHELL/BG,SOTREQ,GRUPO SOMA,SOTREQ,SHELL/BG,SOTREQ,SHELL/BG,SHELL/BG,SHELL/BG,F,F,COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),SHELL/BG,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,GRUPO SOMA,GRUPO SOMA,TOTAL,GLOBENET (VTAL),GLOBENET (VTAL),SHELL/BG,GRUPO SOMA,GRUPO SOMA,SOTREQ,SOTREQ,BR MALLS,BR MALLS,F,F,BR MALLS
6,EQUINOR,EQUINOR,GLOBENET (VTAL),ALIANSCE,ALIANSCE,H. STTRATNER,,ITAGUAI (ICN),,JOTUN IND. TINTAS,,CNOOC,BIOMERIEUX,COMMIT (GASPETRO),GRUPO SOMA,SHELL/BG,TOTAL,GLOBENET (VTAL),GRUPO SOMA,SHELL/BG,GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),F,F,TOTAL,TOTAL,TOTAL,COMMIT (GASPETRO),SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,GLOBENET (VTAL),TOTAL,TOTAL,GGSH,GRUPO SOMA,GRUPO SOMA,GLOBENET (VTAL),COMMIT (GASPETRO),COMMIT (GASPETRO),SHELL/BG,SHELL/BG,ALIANSCE,ALIANSCE,F,F,ALIANSCE
7,EVOLTZ,EVOLTZ,GRUPO SOMA,V2i,V2i,COMSHELL SOC PREV. PRIVADA,,ECOPETROL,,GRUPO COMPONENTES (Opportunity) - Eletron,,NEW WAVE,UNIVERSAL MUSICAL,BR MALLS,COMMIT (GASPETRO),GLOBENET (VTAL),BR MALLS,GRUPO SOMA,COMMIT (GASPETRO),GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,COMMIT (GASPETRO),F,F,GGSH,GGSH,GGSH,TOTAL,GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GRUPO SOMA,BR MALLS,BR MALLS,EQUINOR,TOTAL,TOTAL,GRUPO SOMA,TOTAL,TOTAL,GLOBENET (VTAL),GLOBENET (VTAL),V2i,V2i,F,F,V2i
8,TECHNOS,TECHNOS,COMMIT (GASPETRO),PROFARMA,PROFARMA,MANUCHAR,,OCEANEERING,,FERNANDES ARAÚJO,,Guaraciaba Transmissora de Energia,GLOBO - ED. GLOBO COND NAST,GGSH,BR MALLS,GRUPO SOMA,ALIANSCE,TOTAL,BR MALLS,COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),TOTAL,F,F,ALIANSCE,ALIANSCE,ALIANSCE,GGSH,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,TOTAL,ALIANSCE,ALIANSCE,PEUGEOT CITROEN (BH),BR MALLS,BR MALLS,COMMIT (GASPETRO),GGSH,GGSH,GRUPO SOMA,GRUPO SOMA,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),F,F,PETROMAIS (Origem Energia)
9,SILIMED,SILIMED,,D1000,D1000,DILETTO (Sardinia Investimentos),,GME AEROSPACE,,GEFCO,,DINACO,GLOBO - FRM/C.FUTURA,EQUINOR,GGSH,COMMIT (GASPETRO),EQUINOR,BR MALLS,GGSH,BR MALLS,BR MALLS,TOTAL,GGSH,F,F,V2i,V2i,V2i,ALIANSCE,COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),BR MALLS,EQUINOR,EQUINOR,EVOLTZ,GGSH,GGSH,TOTAL,ALIANSCE,ALIANSCE,COMMIT (GASPETRO),COMMIT (GASPETRO),COCA COLA,COCA COLA,F,F,PROFARMA
