,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
0,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,REDE DOR,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,PORTO SUDESTE,PORTO SUDESTE,ALMAVIVA,ALMAVIVA,SAPURA,SAPURA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,F,F,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,REDE DOR,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,F,F,SUL AMERICA
1,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,REDE DOR,KATRIUM,PORTO SUDESTE,DELLY COSMETICOS,ALMAVIVA,NATIONAL OIL,SAPURA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,F,F,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,REDE DOR,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,SUL AMERICA,F,F,SUL AMERICA
2,TIM,REDE DOR,REDE DOR,REDE DOR,GLOBO - GLOBO,ENERFLEX,KATRIUM,FAZENDA AGRO SB (Opportunity),DELLY COSMETICOS,BRAMEX,NATIONAL OIL,PETRONAS,PETRONAS,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,F,F,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,TIM,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,F,F,REDE DOR
3,TIM,REDE DOR,REDE DOR,REDE DOR,GLOBO - GLOBO,SUPERMERCADO ZONA SUL,DELLY COSMETICOS,PARANAÍBA (PTE),NATIONAL OIL,LIBRA TERMINAL PORTUARIO (ICTSI),OCEÂNICA ENGENHARIA,TEEKAY,TEEKAY,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,F,F,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,TIM,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,REDE DOR,F,F,REDE DOR
4,BROOKFIELD ENERGY (ELERA),TIM,TIM,TIM,VALID,CANAL DE ISABEL II (Emissão S.A.),ENERFLEX,DOMINOS (DP Brasil Participações),FAZENDA AGRO SB (Opportunity),EDISON CHOUEST (BRAM) ,BRAMEX,FARSTAD SHIPPING,FARSTAD SHIPPING,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,F,F,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,GLOBO - GLOBO,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,F,F,TIM
5,BROOKFIELD ENERGY (ELERA),TIM,TIM,TIM,VALID,VINCI PARTNERS (FUNDOS),FAZENDA AGRO SB (Opportunity),BEMISA (Opportunity),BRAMEX,BUREAU VERITAS,PETRONAS,BARCELOS,BARCELOS,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,F,F,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,GLOBO - GLOBO,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,TIM,F,F,TIM
6,PETRORIO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,ÁGUAS DO BRASIL,PUIG O'NIQUE,SUPERMERCADO ZONA SUL,S2,PARANAÍBA (PTE),CONEXA SAÚDE,LIBRA TERMINAL PORTUARIO (ICTSI),MAN DIESEL & TURBO,MAN DIESEL & TURBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,F,F,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,BROOKFIELD ENERGY (ELERA),GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,F,F,GLOBO - GLOBO
7,PETRORIO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,ÁGUAS DO BRASIL,AMOEDO,PARANAÍBA (PTE),DGPAR (ALL CARE),LIBRA TERMINAL PORTUARIO (ICTSI),Zeedog,TEEKAY,SUBSEA 7,SUBSEA 7,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,F,F,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,BROOKFIELD ENERGY (ELERA),GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,GLOBO - GLOBO,F,F,GLOBO - GLOBO
8,HAZTEC (ORIZON),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),NISSAN,ASPEN PHARMA,CANAL DE ISABEL II (Emissão S.A.),ONS,DOMINOS (DP Brasil Participações),ROCK CITY S.A.,EDISON CHOUEST (BRAM) ,VERDE AMBIENTAL,VERDE AMBIENTAL,BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),F,F,BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),VALID,BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),F,F,BROOKFIELD ENERGY (ELERA)
9,HAZTEC (ORIZON),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),NISSAN,ALL NATIONS,DOMINOS (DP Brasil Participações),CREB,EDISON CHOUEST (BRAM) ,FUNBIO,FARSTAD SHIPPING,MINERACAO MORRO DO IPE (MMI),MINERACAO MORRO DO IPE (MMI),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),F,F,BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),VALID,BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),BROOKFIELD ENERGY (ELERA),F,F,BROOKFIELD ENERGY (ELERA)
