Client Name,Nome Retain,"Renovacao 
prevista para o FY23?","FY24 
Total hours ",Hours (assurance),Deadline,Tem trimestral ?
SUL AMERICA,SUL AMERICA, Yes ,32000,18201,Fev / Mar,Yes
REDE DOR,REDE DOR, Yes ,31000,18850,Fev / Mar,Yes
TIM,TIM, Yes ,40500,16400,Fev,Yes
GLOBO - GLOBO,GLOBO, Yes ,16500,11550,Mar,Yes
BROOKFIELD ENERGY (ELERA),ELERA, Yes ,15000,12000,Fev / Mar,Yes
VALID,VALID, Yes ,13900,7982,Mar,Yes
PETRORIO,PETRORIO, Yes ,13000,7735,Fev / Mar,Yes
ÁGUAS DO BRASIL,AGUAS DO BR, Yes ,12000,6400,Mar,Yes
HAZTEC (ORIZON),ORIZON, Yes ,12000,6700,Mar,Yes
NISSAN,NISSAN, Yes ,10500,5320,Jan / Fev / Abr,Yes
SOTREQ,SOTREQ, Yes ,10000,5652,Jan / Fev / Mar,No
SHELL/BG,SHELL, Yes ,10000,6300,Jan / Fev,Yes
GLOBENET (VTAL),GLOBENET, Yes ,9000,8000,Mar,Yes
GRUPO SOMA,SOMA, Yes ,9000,4240,Fev,Yes
COMMIT (GASPETRO),COMMIT, Yes ,9000,6300,Fev,Yes
TOTAL,TOTAL, Yes ,7300,5700,Jan / Fev,Yes
BR MALLS,BR MALLS, Yes ,7000,4900,Mar,Yes
GGSH,GSH, Yes ,6900,4830,Fev / Mar,Yes
ALIANSCE,ALIANSCE, Yes ,6300,3880,Mar,Yes
EQUINOR,EQUINOR, Yes ,6000,3800,Fev,Yes
V2i,V2I, Yes ,5200,3640,Mar,Yes
PEUGEOT CITROEN (BH),PEUGEOT, Yes ,5000,3500,Jan / Jun,No
PETROMAIS (Origem Energia),ORIGEM, Yes ,5000,2400,Mar,No
EVOLTZ,EVOLTZ, Yes ,5000,3750,Mar,Yes
COCA COLA,COCA, Yes ,4600,2644,Jan,No
PROFARMA,PROFARMA, Yes ,4500,3375,Mar,Yes
CATARATAS DO IGUAÇU,CATARATAS, Yes ,4300,3225,Mar,No
OLX (Bom Negócio),OLX, Yes ,4000,2094,Jan e Abr,No
CYMI ,CYMI, Yes ,3900,2300,Mar,No
TECHNOS,TECHNOS, Yes ,3900,2700,Fev,Yes
GLOBO - EDITORA GLOBO S.A.,EDITORA GLOBO, Yes ,3750,2813,Mar,No
D1000,PROFARMA, Yes ,3500,2625,Mar,Yes
SILIMED,SILIMED, Yes ,3500,2140,Fev,Yes
CLUBE DE REGATAS DO FLAMENGO,FLAMENGO, Yes ,3276,1960,Mar,No
PORTO SUDESTE,PORTO, Yes ,3200,1900,Fev,Yes
ALMAVIVA,ALMAVIVA,Yes,3069,1770,Mar,No
WSUT (Magalhanes Navegação),WSUT, Yes ,3000,2250,Fev / Mar,No
INSPIRA MUNDANÇA PART.,INSPIRA, Yes ,3000,2360,Mar,No
CASA GRANADO,GRANADO, Yes ,3000,2250,Fev,No
MRO,MRO, Yes ,3000,2200,Mar,No
SAPURA,SAPURA, Yes ,2800,1700,Apr,Yes
KATRIUM,QDA/KATRIUM, Yes ,2800,1666,Fev / Abr / Mai,No
DELLY COSMETICOS,DELLY, Yes ,2600,1950,Mar,No
NATIONAL OIL,NOV, Yes ,2600,2000,Abr,No
OCEÂNICA ENGENHARIA,OCEANICA, Yes ,2544,1400,Mar,No
ENERFLEX,ENERFLEX, Yes ,2500,2000,Abr / Mai,No
FAZENDA AGRO SB (Opportunity),AGRO, Yes ,2500,1200,Fev / Mar,No
BRAMEX,BRAMEX, Yes ,2371,1194,Abr,No
PETRONAS,PETRONAS, Yes ,2300,1300,Abr,Yes
SUPERMERCADO ZONA SUL,ZONA SUL, Yes ,2300,1360,Mar,No
PARANAÍBA (PTE),MTE, Yes ,2300,1725,Fev,Yes
LIBRA TERMINAL PORTUARIO (ICTSI),ICTSI, Yes ,2200,1650,Jan,No
TEEKAY,TEEKAY, Yes ,2200,1309,Fev / Mai,No
CANAL DE ISABEL II (Emissão S.A.),CANAL ISABEL, Yes ,2150,1613,Fev,No
DOMINOS (DP Brasil Participações),DOMINOS, Yes ,2105,1236,Mar,No
EDISON CHOUEST (BRAM) ,BRAM, Yes ,2000,1400,Abr,No
FARSTAD SHIPPING,FARSTAD, Yes ,2000,1500,Mar,No
VINCI PARTNERS (FUNDOS),n/a, Yes ,2000,1500,Mar,No
BEMISA (Opportunity),BEMISA, Yes ,2000,1143,Jan / Mar,No
BUREAU VERITAS,BV, Yes ,2000,1370,Jan,No
BARCELOS,BARCELOS, Yes ,2000,1500,Mar,No
PUIG O'NIQUE,PUIG, Yes ,2000,1500,Jan,No
S2,S2, Yes ,1900,1210,Jan e Mai,No
CONEXA SAÚDE,CONEXA, Yes ,1900,1425,Mar,No
MAN DIESEL & TURBO,MAN , Yes ,1900,997,Jan / Mar,No
AMOEDO,AMOEDO, Yes ,1800,1350,Mai ou Jun,No
DGPAR (ALL CARE),ALL CARE, Yes ,1800,1350,Mar,No
Zeedog,ZEE DOG, Yes ,1700,1275,Mar,No
SUBSEA 7,SUBSEA, Yes ,1650,980,Fev / Abr,No
ASPEN PHARMA,ASPEN, Yes ,1600,1200,Jul,No
ONS,ONS, Yes ,1550,1163,Mar,No
ROCK CITY S.A.,RIR, Yes ,1500,1125,Fev,No
VERDE AMBIENTAL,VERDE AMBIENTAL, Yes ,1500,740,Mar,No
ALL NATIONS,ALL NATIONS, Yes ,1500,950,Jan / Mai,No
CREB,CREB, Yes ,1500,1000,Fev,No
FUNBIO,FUNBIO, Yes ,1500,1050,Mar,No
MINERACAO MORRO DO IPE (MMI),MMI, Yes ,1450,740,Mar,No
CAMORIM,CAMORIM, Yes ,1400,980,Abr,No
