client,priority,senior,staff3,staff2,trainee,trimestral,planejamento,final,interim,trimestral_1,trimestral_2
SUL AMERICA,1,7,0,3,2,Yes,Full time,Full time,Full time,4,4
REDE DOR,1,6,0,3,2,Yes,Full time,Full time,Full time,4,4
TIM,1,9,0,3,2,Yes,Full time,Full time,Full time,4,4
GLOBO - GLOBO,1,3,0,3,2,Yes,Full time,Full time,Full time,4,4
BROOKFIELD ENERGY (ELERA),2,3,1,1,2,Yes,5,10,7,2,2
VALID,2,3,1,1,2,Yes,5,10,7,2,2
PETRORIO,2,3,1,1,2,Yes,5,10,7,2,2
ÁGUAS DO BRASIL,2,3,1,1,2,Yes,5,10,7,2,2
HAZTEC (ORIZON),2,3,1,1,2,Yes,5,10,7,2,2
NISSAN,2,3,1,1,2,Yes,5,10,7,2,2
SOTREQ,3,2,1,1,1,No,5,9,6,0,0
SHELL/BG,3,2,1,1,1,Yes,5,9,6,2,2
GLOBENET (VTAL),3,2,1,1,1,Yes,5,9,6,2,2
GRUPO SOMA,3,2,1,1,1,Yes,5,9,6,2,2
COMMIT (GASPETRO),3,2,1,1,1,Yes,5,9,6,2,2
TOTAL,4,2,1,1,1,Yes,4,7,6,3,3
BR MALLS,4,2,1,1,1,Yes,4,7,6,3,3
GGSH,4,2,1,1,1,Yes,4,7,6,3,3
ALIANSCE,4,2,1,1,1,Yes,4,7,6,3,3
EQUINOR,4,2,1,1,1,Yes,4,7,6,3,3
V2i,4,2,1,1,1,Yes,4,7,6,3,3
PEUGEOT CITROEN (BH),4,2,1,1,1,No,4,7,6,0,0
PETROMAIS (Origem Energia),4,2,1,1,1,No,4,7,6,0,0
EVOLTZ,4,2,1,1,1,Yes,4,7,6,3,3
COCA COLA,5,1,1,1,1,No,3,5,4,0,0
PROFARMA,5,1,1,1,1,Yes,3,5,4,2,2
CATARATAS DO IGUAÇU,5,1,1,1,1,No,3,5,4,0,0
OLX (Bom Negócio),5,1,1,1,1,No,3,5,4,0,0
CYMI ,5,1,1,1,1,No,3,5,4,0,0
TECHNOS,5,1,1,1,1,Yes,3,5,4,2,2
GLOBO - EDITORA GLOBO S.A.,5,1,1,1,1,No,3,5,4,0,0
D1000,5,1,1,1,1,Yes,3,5,4,2,2
SILIMED,5,1,1,1,1,Yes,3,5,4,2,2
CLUBE DE REGATAS DO FLAMENGO,6,1,1,1,1,No,3,5,4,0,0
PORTO SUDESTE,6,1,1,1,1,Yes,3,5,4,2,2
ALMAVIVA,6,1,1,1,1,No,3,5,4,0,0
WSUT (Magalhanes Navegação),6,1,1,1,1,No,3,5,4,0,0
INSPIRA MUNDANÇA PART.,6,1,1,1,1,No,3,5,4,0,0
CASA GRANADO,6,1,1,1,1,No,3,5,4,0,0
MRO,6,1,1,1,1,No,3,5,4,0,0
SAPURA,6,1,1,1,1,Yes,3,5,4,2,2
KATRIUM,6,1,1,1,1,No,3,5,4,0,0
DELLY COSMETICOS,6,1,1,1,1,No,3,5,4,0,0
NATIONAL OIL,6,1,1,1,1,No,3,5,4,0,0
OCEÂNICA ENGENHARIA,6,1,1,1,1,No,3,5,4,0,0
ENERFLEX,6,1,1,1,1,No,3,5,4,0,0
FAZENDA AGRO SB (Opportunity),6,1,1,1,1,No,3,5,4,0,0
BRAMEX,7,1,0,1,1,No,3,4,4,0,0
PETRONAS,7,1,0,1,1,Yes,3,4,4,2,2
SUPERMERCADO ZONA SUL,7,1,0,1,1,No,3,4,4,0,0
PARANAÍBA (PTE),7,1,0,1,1,Yes,3,4,4,2,2
LIBRA TERMINAL PORTUARIO (ICTSI),7,1,0,1,1,No,3,4,4,0,0
TEEKAY,7,1,0,1,1,No,3,4,4,0,0
CANAL DE ISABEL II (Emissão S.A.),7,1,0,1,1,No,3,4,4,0,0
DOMINOS (DP Brasil Participações),7,1,0,1,1,No,3,4,4,0,0
EDISON CHOUEST (BRAM) ,7,1,0,1,1,No,3,4,4,0,0
FARSTAD SHIPPING,7,1,0,1,1,No,3,4,4,0,0
BEMISA (Opportunity),7,1,0,1,1,No,3,4,4,0,0
BUREAU VERITAS,7,1,0,1,1,No,3,4,4,0,0
BARCELOS,7,1,0,1,1,No,3,4,4,0,0
PUIG O'NIQUE,7,1,0,1,1,No,3,4,4,0,0
S2,7,1,0,1,1,No,3,4,4,0,0
CONEXA SAÚDE,7,1,0,1,1,No,3,4,4,0,0
MAN DIESEL & TURBO,7,1,0,1,1,No,3,4,4,0,0
AMOEDO,7,1,0,1,1,No,3,4,4,0,0
DGPAR (ALL CARE),7,1,0,1,1,No,3,4,4,0,0
Zeedog,7,1,0,1,1,No,3,4,4,0,0
SUBSEA 7,7,1,0,1,1,No,3,4,4,0,0
ASPEN PHARMA,7,1,0,1,1,No,3,4,4,0,0
ONS,7,1,0,1,1,No,3,4,4,0,0
ROCK CITY S.A.,8,1,0,1,1,No,2,3,3,0,0
VERDE AMBIENTAL,8,1,0,1,1,No,2,3,3,0,0
ALL NATIONS,8,1,0,1,1,No,2,3,3,0,0
CREB,8,1,0,1,1,No,2,3,3,0,0
FUNBIO,8,1,0,1,1,No,2,3,3,0,0
MINERACAO MORRO DO IPE (MMI),8,1,0,1,1,No,2,3,3,0,0
CAMORIM,8,1,0,1,1,No,2,3,3,0,0
SISTAC,8,1,0,1,1,No,2,3,3,0,0
DISTRIBUIDORA RECORD,8,1,0,1,1,No,2,3,3,0,0
MR. CAT (Grumari),8,1,0,1,1,No,2,3,3,0,0
Matrincha Transm. de Energia (MTE),8,1,0,1,1,Yes,2,3,3,1,1
DESCOMPLICA,8,1,0,1,1,Yes,2,3,3,1,1
CORPSERVICES,8,1,0,1,1,No,2,3,3,0,0
GLOBO - RADIOS,8,1,0,1,1,No,2,3,3,0,0
CERAS JOHNSON,8,1,0,1,1,No,2,3,3,0,0
GLOBO - CAFÉ ORFEU,8,1,0,1,1,No,2,3,3,0,0
Reichhold do Brasil (Polyint Group),9,0,1,0,1,No,1,3,3,0,0
SERTANEJA,9,0,1,0,1,No,1,3,3,0,0
TAG,9,0,1,0,1,No,1,3,3,0,0
MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,9,0,1,0,1,No,1,3,3,0,0
