,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
0,VALID,VALID,VALID,PETRORIO,VALID,VALID,VALID,VALID,VALID,PETRORIO,PETRORIO,PETRORIO,ÁGUAS DO BRASIL,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,F,F,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,VALID,PETRORIO,PETRORIO,F,F,PETRORIO
1,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,PETRORIO,HAZTEC (ORIZON),PETRORIO,HAZTEC (ORIZON),HAZTEC (ORIZON),PETRORIO,PETRORIO,HAZTEC (ORIZON),ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,NISSAN,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,F,F,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,PETRORIO,ÁGUAS DO BRASIL,PETRORIO,PETRORIO,PETRORIO,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,PETRORIO,PETRORIO,HAZTEC (ORIZON),HAZTEC (ORIZON),F,F,HAZTEC (ORIZON)
2,NISSAN,NISSAN,ÁGUAS DO BRASIL,SOTREQ,HAZTEC (ORIZON),SOTREQ,SOTREQ,HAZTEC (ORIZON),HAZTEC (ORIZON),SOTREQ,NISSAN,NISSAN,SHELL/BG,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,F,F,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,NISSAN,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,HAZTEC (ORIZON),HAZTEC (ORIZON),ÁGUAS DO BRASIL,ÁGUAS DO BRASIL,SOTREQ,SOTREQ,F,F,SOTREQ
3,SHELL/BG,SHELL/BG,HAZTEC (ORIZON),GLOBENET (VTAL),SOTREQ,GLOBENET (VTAL),GLOBENET (VTAL),SOTREQ,SOTREQ,GLOBENET (VTAL),SHELL/BG,SHELL/BG,GRUPO SOMA,HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),F,F,HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),HAZTEC (ORIZON),SHELL/BG,NISSAN,NISSAN,HAZTEC (ORIZON),NISSAN,NISSAN,HAZTEC (ORIZON),HAZTEC (ORIZON),GLOBENET (VTAL),GLOBENET (VTAL),F,F,GLOBENET (VTAL)
4,GRUPO SOMA,GRUPO SOMA,NISSAN,COMMIT (GASPETRO),GLOBENET (VTAL),COMMIT (GASPETRO),COMMIT (GASPETRO),GLOBENET (VTAL),GLOBENET (VTAL),COMMIT (GASPETRO),GRUPO SOMA,GRUPO SOMA,TOTAL,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,F,F,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,NISSAN,GRUPO SOMA,SOTREQ,SOTREQ,NISSAN,SHELL/BG,SHELL/BG,NISSAN,NISSAN,COMMIT (GASPETRO),COMMIT (GASPETRO),F,F,COMMIT (GASPETRO)
5,TOTAL,TOTAL,SOTREQ,BR MALLS,COMMIT (GASPETRO),BR MALLS,BR MALLS,COMMIT (GASPETRO),COMMIT (GASPETRO),GGSH,TOTAL,TOTAL,ALIANSCE,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,F,F,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,TOTAL,SHELL/BG,SHELL/BG,SOTREQ,GLOBENET (VTAL),GLOBENET (VTAL),SOTREQ,SOTREQ,BR MALLS,BR MALLS,F,F,BR MALLS
6,GGSH,GGSH,SHELL/BG,ALIANSCE,BR MALLS,EQUINOR,EQUINOR,BR MALLS,BR MALLS,V2i,GGSH,GGSH,PEUGEOT CITROEN (BH),SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,F,F,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,GGSH,GRUPO SOMA,GRUPO SOMA,SHELL/BG,GRUPO SOMA,GRUPO SOMA,SHELL/BG,SHELL/BG,ALIANSCE,ALIANSCE,F,F,ALIANSCE
7,EQUINOR,EQUINOR,GLOBENET (VTAL),V2i,ALIANSCE,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),EQUINOR,GGSH,EVOLTZ,ALIANSCE,ALIANSCE,COCA COLA,GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),F,F,GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),EQUINOR,COMMIT (GASPETRO),COMMIT (GASPETRO),GLOBENET (VTAL),TOTAL,TOTAL,GLOBENET (VTAL),GLOBENET (VTAL),V2i,V2i,F,F,V2i
8,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),GRUPO SOMA,PETROMAIS (Origem Energia),EQUINOR,PROFARMA,PROFARMA,V2i,V2i,CATARATAS DO IGUAÇU,V2i,PEUGEOT CITROEN (BH),OLX (Bom Negócio),GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,F,F,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,PEUGEOT CITROEN (BH),TOTAL,TOTAL,GRUPO SOMA,BR MALLS,BR MALLS,GRUPO SOMA,GRUPO SOMA,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),F,F,PETROMAIS (Origem Energia)
9,EVOLTZ,EVOLTZ,COMMIT (GASPETRO),COCA COLA,V2i,CYMI ,CYMI ,PETROMAIS (Origem Energia),EVOLTZ,TECHNOS,PEUGEOT CITROEN (BH),COCA COLA,GLOBO - EDITORA GLOBO S.A.,COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),F,F,COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),EVOLTZ,GGSH,GGSH,COMMIT (GASPETRO),GGSH,GGSH,COMMIT (GASPETRO),COMMIT (GASPETRO),COCA COLA,COCA COLA,F,F,PROFARMA
